frame,ID,X,Y,Class,Color,Position
126,26,973,300,Player,red,Attack
126,40,939,344,Player,white,Defense
126,51,990,438,Player,red,Attack
126,87,958,425,Player,white,Defense
126,664,1024,393,Player,green,Defense
126,824,982,439,Player,white,Defense
126,826,967,286,Player,white,Defense
126,828,888,434,Player,red,Attack
126,829,887,431,Player,red,Attack
133,26,1024,341,Player,white,Defense
133,40,987,360,Player,white,Defense
133,51,1017,448,Player,red,Attack
133,87,977,431,Player,white,Defense
133,664,1014,417,Player,green,Defense
133,826,1016,352,Player,white,Defense
133,828,924,444,Player,red,Attack
133,885,917,296,Player,red,Attack
133,892,992,454,Player,white,Defense
133,893,835,463,Player,skyblue,Not a player
