frame,ID,X,Y,Class,Color,Position
308,6,151,473,Player,white,Attack
308,28,139,397,Player,blue,Defense
308,161,101,271,Player,blue,Defense
308,167,115,311,Player,blue,Defense
308,170,142,478,Player,blue,Defense
308,175,156,352,Player,blue,Defense
308,181,213,477,Player,red,Not a player
308,182,162,465,Player,blue,Defense
308,184,120,228,Player,blue,Defense
308,208,116,311,Player,blue,Defense
308,221,214,319,Player,white,Attack
308,233,167,235,Ball,white,Ball
308,239,163,84,Player,white,Attack
308,241,145,431,Player,blue,Defense
315,6,144,483,Player,white,Attack
315,28,144,364,Player,blue,Defense
315,161,123,304,Player,white,Attack
315,167,129,269,Player,blue,Defense
315,175,160,275,Player,blue,Defense
315,181,213,444,Player,red,Not a player
315,182,147,421,Player,blue,Defense
315,184,123,203,Player,blue,Defense
315,221,220,256,Player,white,Attack
315,239,165,95,Player,blue,Defense
315,241,156,430,Player,blue,Defense
315,273,255,165,Player,white,Attack
315,274,83,312,Player,blue,Defense
322,6,160,507,Player,white,Attack
322,28,167,400,Player,blue,Defense
322,161,150,356,Player,blue,Defense
322,167,153,312,Player,blue,Defense
322,170,156,495,Player,blue,Defense
322,175,195,318,Player,blue,Defense
322,181,233,459,Player,red,Not a player
322,182,163,442,Player,blue,Defense
322,184,152,259,Player,blue,Defense
322,221,235,294,Player,white,Attack
322,239,192,176,Player,blue,Defense
322,241,174,448,Player,blue,Defense
322,273,268,204,Player,white,Attack
322,284,229,287,Ball,white,Ball
329,6,141,465,Player,white,Attack
329,28,144,332,Player,blue,Defense
329,161,121,273,Player,blue,Defense
329,167,130,222,Player,blue,Defense
329,170,130,442,Player,blue,Defense
329,175,177,218,Player,blue,Defense
329,181,221,407,Player,blue,Defense
329,182,133,376,Player,blue,Defense
329,184,122,145,Player,blue,Defense
329,221,202,202,Player,white,Attack
329,239,159,67,Player,blue,Defense
329,241,152,375,Player,blue,Defense
329,273,230,97,Player,white,Attack
329,0,187,198,Ball,white,Ball
336,6,139,464,Player,white,Attack
336,28,136,337,Player,blue,Defense
336,161,111,283,Player,blue,Defense
336,167,114,212,Player,blue,Defense
336,170,77,377,Player,blue,Defense
336,175,173,215,Player,blue,Defense
336,181,213,398,Player,red,Not a player
336,182,121,377,Player,blue,Defense
336,184,113,149,Player,blue,Defense
336,221,192,222,Player,white,Attack
336,239,148,96,Player,blue,Defense
336,241,150,366,Player,blue,Defense
336,273,199,91,Player,white,Attack
336,0,119,245,Ball,white,Ball
343,6,146,457,Player,white,Attack
343,28,81,263,Player,blue,Defense
343,161,86,247,Player,white,Attack
343,167,99,179,Player,blue,Defense
343,170,54,329,Player,blue,Defense
343,175,161,160,Player,blue,Defense
343,181,214,372,Player,red,Not a player
343,182,96,355,Player,blue,Defense
343,184,91,59,Player,blue,Defense
343,221,200,214,Player,white,Attack
343,241,142,322,Player,blue,Defense
350,6,154,463,Player,white,Attack
350,28,46,235,Player,blue,Defense
350,161,112,240,Player,white,Attack
350,167,137,243,Player,blue,Defense
350,170,121,425,Player,blue,Defense
350,175,158,261,Player,blue,Defense
350,181,223,357,Player,red,Not a player
350,182,52,367,Player,blue,Defense
350,184,152,147,Player,blue,Defense
350,241,133,318,Player,blue,Defense
357,6,148,452,Player,white,Attack
357,28,45,241,Player,blue,Defense
357,161,116,237,Player,blue,Defense
357,167,132,258,Player,blue,Defense
357,170,113,413,Player,blue,Defense
357,175,132,254,Player,blue,Defense
357,181,207,335,Player,red,Not a player
357,182,42,357,Player,blue,Defense
357,184,139,170,Player,blue,Defense
357,241,122,310,Player,blue,Defense
357,0,122,348,Ball,white,Ball
